name,handedness,height,weight,avg,HR
Onix Concepcion,R,66,160,0.239,3
Larry Dierker,R,76,215,0.136,4
Terry Harmon,R,74,180,0.233,4
Denny Lemaster,R,73,182,0.13,4
Burt Hooton,R,73,210,0.123,4
Tom Matchick,L,73,173,0.215,4
Tommy Dean,R,72,165,0.18,4
Joe Lovitto,B,72,185,0.216,4
Mike Richardt,R,72,170,0.226,4
Pat Corrales,R,72,180,0.216,4
Juan Marichal,R,72,185,0.165,4
Vida Blue,B,72,189,0.104,4
Ron Gardenhire,R,72,175,0.232,4
Mario Mendoza,R,71,170,0.215,4
John Donaldson,L,71,160,0.238,4
Julio Gonzalez,R,71,162,0.235,4
Jackie Gutierrez,R,71,175,0.237,4
Junior Kennedy,R,71,175,0.248,4
Jerry Terrell,R,71,165,0.253,4
Rafael Landestoy,B,70,165,0.237,4
Elio Chacon,R,69,160,0.232,4
Mike Krukow,R,77,205,0.193,5
Scot Thompson,L,75,195,0.262,5
Tommy John,R,75,180,0.157,5
Alan Wiggins,B,74,160,0.259,5
Andy Messersmith,R,73,200,0.17,5
Tom Nieto,R,73,193,0.205,5
Frank Quilici,R,73,170,0.214,5
Roger Metzger,B,72,165,0.231,5
Lenny Faedo,R,72,170,0.251,5
Wallace Johnson,B,72,173,0.255,5
Joaquin Andujar,B,72,170,0.127,5
Steve Barber,L,72,195,0.115,5
Luis Tiant,R,72,180,0.164,5
Steve Jeltz,B,71,180,0.21,5
Albert Hall,B,71,155,0.251,5
Ray Sadecki,L,71,180,0.191,5
Andre Robertson,R,70,155,0.251,5
Ron Clark,R,70,175,0.189,5
Mike Brumley,L,70,195,0.229,5
Gene Clines,R,69,170,0.277,5
Mike Sadek,R,69,165,0.226,5
Luis Alvarado,R,69,162,0.214,5
Ken Suarez,R,69,175,0.227,5
Jim French,L,68,180,0.196,5
Steve Renko,R,77,230,0.215,6
Gaylord Perry,R,76,205,0.131,6
Terry Humphrey,R,75,185,0.211,6
Bob Knepper,L,75,195,0.137,6
Ron Stone,L,74,185,0.241,6
Luis Pujols,R,74,175,0.193,6
Wilbur Howard,B,74,170,0.25,6
Rod Kanehl,R,73,180,0.241,6
Rick Sweet,B,73,200,0.234,6
John Vukovich,R,73,187,0.161,6
Tucker Ashford,R,73,195,0.218,6
Ken Rudolph,R,73,180,0.213,6
Brad Wellman,R,72,170,0.231,6
Bob Davis,R,72,180,0.197,6
Miguel Dilone,B,72,160,0.265,6
Ty Cline,L,72,170,0.238,6
Julio Gotay,R,72,180,0.26,6
Catfish Hunter,R,72,190,0.226,6
Hank Allen,R,72,190,0.241,6
Frank Tepedino,L,71,185,0.241,6
Dal Maxvill,R,71,157,0.217,6
Rich Morales,R,71,170,0.195,6
Rich Chiles,L,71,170,0.254,6
Dave Hilton,R,71,191,0.213,6
Buddy Biancalana,B,71,160,0.205,6
Tim Blackwell,B,71,170,0.228,6
Mike Squires,L,71,185,0.26,6
Bobby Klaus,R,70,170,0.208,6
Dave Roberts,L,75,195,0.194,7
Tony Muser,L,74,180,0.259,7
Jim Maloney,L,74,190,0.201,7
Mel Stottlemyre,R,73,178,0.16,7
Don Hahn,R,73,180,0.236,7
Jerry Kenney,L,73,170,0.237,7
Phil Niekro,R,73,180,0.169,7
Marv Breeding,R,72,175,0.25,7
Bill Fahey,L,72,200,0.241,7
Ted Martinez,R,72,165,0.24,7
Stan Papi,R,72,170,0.218,7
Carl Morton,R,72,200,0.156,7
Orlando Mercado,R,72,180,0.199,7
Doug Griffin,R,72,160,0.245,7
Al Weis,B,72,160,0.219,7
Jim Rooker,R,72,195,0.201,7
Junior Moore,R,71,185,0.264,7
Doug Flynn,R,71,165,0.238,7
Bud Harrelson,B,71,160,0.236,7
Jim Fairey,L,70,190,0.235,7
Greg Gross,L,70,160,0.287,7
Jim Norris,L,70,175,0.264,7
Mario Guerrero,R,70,155,0.257,7
Curt Ford,L,70,150,0.245,7
Juan Bonilla,R,69,170,0.256,7
Sonny Jackson,L,69,150,0.251,7
Lynn Jones,R,69,175,0.252,7
Jerry Remy,L,69,165,0.275,7
Sandy Valdespino,L,68,170,0.23,7
Hal Lanier,R,74,180,0.228,8
Bob Meacham,B,73,175,0.236,8
Russ Gibson,R,73,195,0.228,8
Pedro Gonzalez,R,72,176,0.244,8
Sal Butera,R,72,190,0.227,8
Jimmy Stewart,B,72,165,0.237,8
Phil Mankowski,L,72,180,0.264,8
Jeff Torborg,R,72,195,0.214,8
Dick Tracewski,R,71,160,0.213,8
Merritt Ranew,L,71,170,0.247,8
Ed Romero,R,71,160,0.247,8
Domingo Ramos,R,70,154,0.24,8
Steve Hovley,L,70,188,0.258,8
Broderick Perkins,L,70,180,0.271,8
Boots Day,L,69,160,0.256,8
Rick Rhoden,R,75,195,0.238,9
Joe Simpson,L,75,175,0.242,9
Tim Cullen,R,73,185,0.22,9
Rick Sofield,L,73,195,0.243,9
Jim Lyttle,L,72,180,0.248,9
Jack Heidemann,R,72,175,0.211,9
Joe Keough,L,72,185,0.246,9
Rick Auerbach,R,72,165,0.22,9
Bob Barton,R,72,175,0.226,9
Luis Melendez,R,72,165,0.248,9
Bobby Cox,R,71,180,0.225,9
Tim Flannery,L,71,175,0.255,9
Bob Bailor,R,71,170,0.264,9
Dave McNally,R,71,185,0.133,9
Gene Locklear,L,70,165,0.274,9
Jim Pankovits,R,70,170,0.25,9
George Smith,R,70,170,0.205,9
Bill Sharp,L,70,178,0.255,9
Wayne Tolleson,B,69,160,0.241,9
J.R. Richard,R,80,222,0.168,10
Ted Cox,R,75,195,0.245,10
Bruce Boisclair,L,74,185,0.263,10
Carl Taylor,R,74,200,0.266,10
Paul Dade,R,73,185,0.27,10
Brian Giles,R,73,165,0.228,10
Dick Bertell,R,72,200,0.25,10
Ron Davis,R,72,175,0.233,10
Dave Rosello,R,71,160,0.236,10
Bombo Rivera,R,70,187,0.265,10
Fred Stanley,R,70,165,0.216,10
Tom Poquette,L,70,175,0.268,10
Howie Goss,R,76,204,0.216,11
Ken Walters,R,73,180,0.231,11
Phil Linz,R,73,180,0.235,11
Jeff Stone,L,72,175,0.277,11
Mike Phillips,L,72,170,0.24,11
Rufino Linares,R,72,170,0.27,11
Al Gallagher,R,72,180,0.263,11
Tony Cloninger,R,72,210,0.192,11
Larry Milbourne,B,72,161,0.254,11
Barbaro Garbey,R,70,170,0.267,11
Steve Nicosia,R,70,185,0.248,11
Jimmie Schaffer,R,69,170,0.223,11
Bob Forsch,R,76,200,0.213,12
Sonny Siebert,R,75,190,0.173,12
Tommie Reynolds,R,74,190,0.226,12
Larry Haney,R,74,195,0.215,12
Jim Mason,L,74,185,0.203,12
Larry Harlow,L,74,185,0.248,12
Tom Seaver,R,73,195,0.154,12
Brian Asselstine,L,73,175,0.254,12
Garry Hancock,L,72,175,0.247,12
Ron Pruitt,R,72,185,0.269,12
Dick Phillips,L,72,180,0.229,12
Dan Briggs,L,72,180,0.195,12
Alan Knicely,R,72,190,0.213,12
Doug Clemens,L,72,180,0.229,12
Jackie Hernandez,R,71,165,0.208,12
Tim Corcoran,L,71,175,0.27,12
Kiko Garcia,R,71,180,0.239,12
John Stephenson,L,71,180,0.216,12
Larry Cox,R,70,178,0.221,12
Bobby Valentine,R,70,189,0.26,12
Rich Coggins,L,68,170,0.265,12
Fergie Jenkins,R,77,205,0.165,13
Steve Carlton,L,76,210,0.201,13
Tommie Aaron,R,75,190,0.229,13
Gary Woods,R,74,185,0.243,13
Danny Goodwin,L,73,195,0.236,13
Richie Scheinblum,B,73,180,0.263,13
Rafael Santana,R,73,165,0.246,13
Steve Dillard,R,73,180,0.243,13
Rick Joseph,R,73,192,0.243,13
Ted Kubiak,B,72,175,0.231,13
Kevin Bell,R,72,195,0.222,13
Jim Anderson,R,72,170,0.218,13
Mike Fiore,L,72,175,0.227,13
Tom O'Malley,L,72,180,0.256,13
Tito Landrum,R,71,175,0.249,13
Vic Harris,B,71,165,0.217,13
Bob Burda,L,71,174,0.224,13
Sandy Alomar,B,69,140,0.245,13
Roberto Pena,R,68,170,0.245,13
Tim Harkness,L,74,182,0.235,14
John Hale,L,74,195,0.201,14
Ken Hubbs,R,74,175,0.247,14
Rod Gilbreath,R,74,180,0.248,14
Jim Beauchamp,R,74,190,0.231,14
Darrel Chaney,B,74,188,0.217,14
Vern Fuller,R,73,170,0.232,14
Don Kessinger,B,73,170,0.252,14
Tom Veryzer,R,73,175,0.241,14
Phil Gagliano,R,73,180,0.238,14
Bob Uecker,R,73,190,0.2,14
Bill Plummer,R,73,190,0.188,14
Bob Molinaro,L,72,190,0.264,14
Dane Iorg,L,72,180,0.276,14
Ken Retzer,L,72,185,0.264,14
Paul Popovich,B,72,175,0.233,14
Dave Edwards,R,72,170,0.237,14
Greg Pryor,R,72,180,0.25,14
Johnny Oates,L,71,188,0.25,14
Mickey Klutts,R,71,170,0.241,14
Ed Stroud,L,71,180,0.237,14
Bubba Morton,R,70,175,0.267,14
Dick Simpson,R,76,176,0.207,15
Jerry May,R,74,190,0.234,15
Doc Edwards,R,74,215,0.238,15
Don Leppert,R,74,220,0.229,15
Daryl Sconiers,L,74,185,0.265,15
Gene Michael,B,74,183,0.229,15
Rick Wise,R,73,180,0.195,15
Wayne Krenchicki,L,73,180,0.266,15
Danny Thompson,R,72,183,0.248,15
Ray Oyler,R,71,165,0.175,15
Dave Chalk,R,70,175,0.252,15
Larry Bowa,B,70,155,0.26,15
Glenn Borgmann,R,76,210,0.229,16
Dick Billings,R,73,195,0.227,16
Steve Huntz,B,73,204,0.206,16
Ned Yost,R,73,190,0.212,16
Dave Marshall,L,73,182,0.246,16
Terry Francona,L,73,190,0.274,16
Jim Nettles,L,72,186,0.22,16
Joe Wallis,B,71,180,0.244,16
Ellie Rodriguez,R,71,185,0.245,16
Wayne Comer,R,70,175,0.229,16
Pepe Mangual,R,70,157,0.242,16
Denny Doyle,L,69,175,0.25,16
Dick Howser,R,68,155,0.248,16
Doug Ault,R,75,200,0.236,17
Billy Smith,B,74,185,0.23,17
Rob Picciolo,R,74,185,0.234,17
Hosken Powell,L,73,175,0.259,17
Tony Scott,B,72,164,0.249,17
Ray Webster,L,72,185,0.244,17
Ron Roenicke,B,72,180,0.238,17
Rick Bosetti,R,71,185,0.25,17
Bob Brower,R,71,185,0.242,17
Ted Ford,R,70,180,0.219,17
Fernando Gonzalez,R,70,165,0.235,17
Chuck Harrison,R,70,185,0.238,17
Johnny Jeter,R,73,180,0.244,18
Rudy Law,L,73,165,0.271,18
Bruce Benedict,R,73,175,0.242,18
Harry Spilman,L,73,180,0.237,18
Rick Leach,L,73,180,0.268,18
Hector Torres,R,72,175,0.216,18
Willie Norwood,R,72,185,0.242,18
Chris Cannizzaro,R,72,190,0.235,18
Jim Price,R,72,192,0.214,18
Elliott Maddox,R,71,180,0.261,18
Doug Camilli,R,71,195,0.199,18
Bill Voss,L,74,160,0.227,19
Cap Peterson,R,74,195,0.23,19
Ron Hodges,L,73,185,0.24,19
Bobby Clark,R,72,190,0.239,19
Jim Holt,L,72,180,0.265,19
Gary Allenson,R,71,185,0.221,19
Alan Bannister,R,71,170,0.27,19
Fran Healy,R,77,220,0.25,20
Doug Frobel,L,76,196,0.201,20
Thad Bosley,L,75,175,0.272,20
Steve Swisher,R,74,205,0.216,20
Bob Jones,L,74,195,0.221,20
Mark Belanger,R,73,170,0.228,20
Dave Campbell,R,73,180,0.213,20
Steve Lombardozzi,R,72,175,0.233,20
Carmen Fanzone,R,72,200,0.224,20
Ike Brown,R,72,190,0.256,20
Rick Renick,R,72,188,0.221,20
Chuck Hiller,L,71,170,0.243,20
Billy North,B,71,185,0.261,20
Rich McKinney,R,71,185,0.225,20
Ron Washington,R,71,155,0.261,20
Garth Iorg,R,71,170,0.258,20
Dave Nelson,R,70,160,0.244,20
Larvell Blanks,R,68,167,0.253,20
Bobby Mitchell,R,75,185,0.235,21
Jerry Narron,L,75,205,0.211,21
John Wathan,R,74,205,0.262,21
Hal Breeden,R,74,200,0.243,21
Dick Nen,L,74,200,0.224,21
Tom Satriano,L,73,185,0.225,21
Dave McKay,B,73,195,0.229,21
Joe Gaines,R,73,190,0.241,21
Ivan DeJesus,R,71,175,0.254,21
Dave Cash,R,71,170,0.283,21
Jim Wohlford,R,71,175,0.26,21
Jerry White,B,70,164,0.253,21
Biff Pocoroba,B,70,175,0.257,21
Nelson Mathews,R,76,195,0.223,22
Tom Egan,R,76,218,0.2,22
Jack Hiatt,R,74,190,0.251,22
Johnnie LeMaster,R,74,165,0.222,22
Johnny Lewis,L,73,189,0.227,22
Glenn Beckert,R,73,190,0.283,22
Roger Freed,R,72,190,0.245,22
Jerry Buchek,R,71,185,0.22,22
Tom Hutton,L,71,180,0.248,22
Felix Millan,R,71,172,0.279,22
Reid Nichols,R,71,165,0.266,22
Marty Perez,R,71,160,0.246,22
Angel Mangual,R,70,178,0.245,22
Mike Brown,R,74,195,0.265,23
Bob Montgomery,R,73,195,0.258,23
Lyman Bostock,L,73,180,0.311,23
Glenn Hoffman,R,73,175,0.242,23
Duane Josephson,R,72,190,0.258,23
Bob Dernier,R,72,160,0.255,23
Chuck Schilling,R,70,160,0.239,23
Ted Sizemore,R,70,165,0.262,23
Alex Trevino,R,70,165,0.249,23
Julio Cruz,B,69,165,0.237,23
Bob Chance,L,74,196,0.261,24
Syd O'Brien,R,73,185,0.23,24
Hal King,L,73,200,0.214,24
Steve Whitaker,L,72,180,0.23,24
Ken Gerhart,R,72,190,0.221,24
Duane Walker,L,72,185,0.229,24
Gary Gray,R,72,187,0.24,24
Eddie Leon,R,72,170,0.236,24
Steve Ontiveros,B,72,185,0.274,24
Gary Sutherland,R,72,185,0.243,24
Norm Miller,L,70,185,0.238,24
Jerry Moses,R,75,210,0.251,25
Bill Nahorodny,R,74,200,0.241,25
Mark Brouhard,R,73,210,0.259,25
Jake Gibbs,L,72,180,0.233,25
Tim Foli,R,72,179,0.251,25
Mike de la Hoz,R,71,175,0.251,25
Gail Hopkins,L,70,198,0.266,25
Lenn Sakata,R,69,160,0.23,25
Curt Motton,R,68,164,0.213,25
Bruce Bochy,R,75,205,0.239,26
Bobby Brown,B,74,190,0.245,26
Manny Jimenez,L,73,185,0.272,26
John Boccabella,R,73,195,0.219,26
Frank Duffy,R,73,180,0.232,26
Gene Richards,L,72,175,0.29,26
Jose Morales,R,71,187,0.287,26
Bob Coluccio,R,71,183,0.22,26
Mike Hershberger,R,70,175,0.252,26
Ron Woods,R,70,168,0.233,26
Jesse Gonder,L,70,180,0.251,26
Dick Davis,R,75,190,0.265,27
Pete LaCock,L,74,200,0.257,27
Kurt Bevacqua,R,72,180,0.236,27
George Vukovich,L,72,198,0.268,27
Bob Kearney,R,72,190,0.233,27
Chris Bando,B,72,195,0.227,27
Jerry McNertney,R,72,180,0.237,27
Jim Traber,L,72,194,0.227,27
Andres Mora,R,72,180,0.223,27
Joe Nolan,L,71,175,0.263,27
U L Washington,B,71,175,0.251,27
Felix Torres,R,71,165,0.254,27
Len Randle,B,70,169,0.257,27
Horace Clarke,B,69,170,0.256,27
Mike Tyson,R,69,170,0.241,27
Mike Ryan,R,74,205,0.193,28
Mike Anderson,R,74,200,0.246,28
Danny Walton,R,72,195,0.223,28
Rick Miller,L,72,175,0.269,28
Coco Laboy,R,70,165,0.233,28
Billy Grabarkewitz,R,70,165,0.236,28
Larry Biittner,L,74,205,0.273,29
Joe Charboneau,R,74,205,0.266,29
Charlie James,R,73,195,0.255,29
Paul Householder,B,72,180,0.236,29
Rey Quinones,R,71,160,0.243,29
Vic Correll,R,70,185,0.229,29
Ed Goodson,L,75,180,0.26,30
Byron Browne,R,74,190,0.236,30
Len Matuszek,L,74,190,0.234,30
Pete Mackanin,R,74,190,0.226,30
Bobby Wine,R,73,187,0.215,30
Duffy Dyer,R,72,187,0.221,30
Steve Brye,R,72,190,0.258,30
Jim Gosger,L,71,185,0.226,30
Dave Rader,L,71,165,0.257,30
Jack Brohamer,L,70,165,0.245,30
Von Joshua,L,70,170,0.273,30
Jerry Hairston,B,70,170,0.258,30
Dave Engle,R,75,210,0.262,31
David Green,R,75,170,0.268,31
Mike Diaz,R,74,195,0.247,31
Buck Rodgers,B,74,190,0.232,31
Fred Kendall,R,73,185,0.234,31
Ken Boswell,L,72,170,0.248,31
Leron Lee,L,72,196,0.25,31
Chico Salmon,R,70,160,0.249,31
Joe Lefebvre,L,70,170,0.258,31
Carl Warwick,R,70,170,0.248,31
Manny Mota,R,70,160,0.304,31
Matty Alou,L,69,160,0.307,31
Clint Hurdle,L,75,195,0.259,32
Jesus Alou,R,74,190,0.28,32
Joe Lis,R,72,175,0.233,32
Rowland Office,L,72,170,0.259,32
John Kennedy,R,72,185,0.225,32
Dave Collins,B,71,175,0.272,32
Mickey Brantley,R,70,180,0.259,32
Jim Essian,R,74,195,0.244,33
Ivan Murrell,R,74,195,0.236,33
Terry Whitfield,L,73,197,0.281,33
Bob Stinson,B,71,180,0.25,33
Ed Ott,L,70,190,0.259,33
Al Luplow,L,70,175,0.235,33
Walt Williams,R,66,165,0.27,33
Marc Hill,R,75,205,0.223,34
Mike Vail,R,73,180,0.279,34
Glenn Adams,L,73,180,0.28,34
Ted Savage,R,73,185,0.233,34
Todd Cruz,R,72,175,0.22,34
Mike Cubbage,L,72,180,0.258,34
Tommy Helms,R,70,165,0.269,34
Al Woods,L,75,190,0.271,35
Jake Wood,R,73,163,0.25,35
R.J. Reynolds,B,72,190,0.267,35
Rusty Torres,B,70,175,0.212,35
Terry Harper,R,76,195,0.253,36
Bill Almon,R,75,180,0.254,36
Ted Uhlaender,L,74,190,0.263,36
Damaso Garcia,R,73,165,0.283,36
Larry Stahl,L,72,175,0.232,36
Charlie Moore,R,71,180,0.261,36
Bump Wills,B,69,172,0.266,36
Vic Davalillo,L,67,150,0.279,36
Dave Hostetler,R,76,215,0.229,37
Len Gabrielson,L,76,210,0.253,37
Omar Moreno,L,74,180,0.252,37
Pedro Garcia,R,70,175,0.22,37
Luis Aguayo,R,69,173,0.236,37
Brant Alyea,R,75,215,0.247,38
Mickey Hatcher,R,74,200,0.28,38
Benny Ayala,R,73,185,0.251,38
Chris Brown,R,72,185,0.269,38
Floyd Rayford,R,70,190,0.244,38
Wayne Nordhagen,R,74,205,0.282,39
Rob Wilfong,L,73,180,0.248,39
Ron Hunt,R,72,186,0.273,39
Frank Fernandez,R,72,185,0.199,39
Ed Spiezio,R,71,180,0.238,39
Hector Cruz,R,71,170,0.225,39
Jerry Grote,R,70,185,0.252,39
John Orsino,R,75,215,0.249,40
Billy Conigliaro,R,72,180,0.256,40
Billy Cowan,R,72,170,0.236,40
Joe Hague,L,72,195,0.239,40
Jerry Royster,R,72,165,0.249,40
Marvell Wynne,L,71,175,0.247,40
Bucky Dent,R,69,170,0.247,40
Walt Bond,L,79,228,0.256,41
Billy Bryan,L,76,200,0.216,41
Dalton Jones,L,73,180,0.235,41
Dave Stapleton,R,73,178,0.271,41
Rennie Stennett,R,71,160,0.274,41
John Castino,R,71,175,0.278,41
Freddie Patek,R,65,148,0.242,41
Ron Oester,B,74,185,0.265,42
Andres Thomas,R,73,170,0.234,42
Craig Reynolds,L,73,175,0.256,42
Terry Crowley,L,72,180,0.25,42
Eddie Milner,L,71,173,0.253,42
George Wright,B,71,180,0.245,42
Phil Roof,R,74,190,0.215,43
Art Howe,R,74,190,0.26,43
Derrel Thomas,B,72,160,0.249,43
Rich Dauer,R,72,180,0.257,43
Bob Johnson,R,70,175,0.272,44
Bill Stein,R,70,170,0.267,44
Darryl Motley,R,69,196,0.243,44
Sam Bowens,R,73,188,0.223,45
Roy Foster,R,72,185,0.253,45
Tito Fuentes,B,71,175,0.268,45
Jerry Turner,L,69,180,0.257,45
Craig Kusick,R,75,210,0.235,46
John Stearns,R,72,185,0.26,46
Willie Smith,L,72,182,0.248,46
Bill Russell,R,72,175,0.263,46
Cesar Tovar,R,69,155,0.278,46
Bill Sample,R,69,175,0.272,46
Larry Brown,R,70,160,0.233,47
Lou Johnson,R,71,170,0.258,48
Dave Roberts,R,75,215,0.239,49
Andy Etchebarren,R,73,190,0.235,49
Dale Berra,R,72,180,0.236,49
Paul Casanova,R,76,180,0.225,50
Joe Azcue,R,72,190,0.252,50
Tony Solaita,L,72,210,0.255,50
Rick Burleson,R,70,165,0.273,50
Al Ferrara,R,73,200,0.259,51
Cesar Geronimo,L,72,165,0.258,51
Rich Reese,L,75,185,0.253,52
Ron Blomberg,L,73,195,0.293,52
Buddy Bradford,R,71,170,0.226,52
Steve Braun,L,70,180,0.271,52
Mike Hegan,L,73,188,0.242,53
Johnny Ray,B,71,170,0.29,53
Champ Summers,L,74,205,0.255,54
Cookie Rojas,R,70,160,0.263,54
Al Bumbry,L,68,170,0.281,54
Gary Alexander,R,74,195,0.23,55
Clay Dalrymple,L,72,190,0.233,55
Gene Alley,R,70,160,0.254,55
Barry Bonnell,R,75,190,0.272,56
Rick Manning,L,73,180,0.257,56
Bobby Knoop,R,73,170,0.236,56
Ron Jackson,R,72,200,0.259,56
Barry Foote,R,75,205,0.23,57
Paul Schaal,R,71,165,0.244,57
Ken Berry,R,72,175,0.255,58
Joe Foy,R,72,215,0.248,58
Buck Martinez,R,70,190,0.225,58
Adolfo Phillips,R,73,175,0.247,59
Bill Sudakis,B,73,190,0.234,59
Ron LeFlore,R,72,200,0.288,59
Enos Cabell,R,76,170,0.277,60
Ed Brinkman,R,72,170,0.224,60
Ray Fosse,R,74,215,0.256,61
Bill Schroeder,R,74,200,0.24,61
Dave Nicholson,R,74,215,0.212,61
Gary Thomasson,L,73,180,0.249,61
Manny Trillo,R,73,150,0.263,61
Wayne Garrett,L,71,175,0.239,61
Mickey Rivers,L,70,165,0.295,61
Dave Revering,L,76,210,0.265,62
Ellie Hendricks,L,73,175,0.22,62
Jeff Newman,R,74,215,0.224,63
Bake McBride,L,74,190,0.299,63
Pat Putnam,L,72,205,0.255,63
Lamar Johnson,R,74,215,0.287,64
Wes Parker,B,73,180,0.267,64
Charlie Spikes,R,75,215,0.246,65
Tom Grieve,R,74,190,0.249,65
Joe Lahoud,L,73,198,0.223,65
Lou Clinton,R,73,185,0.247,65
Butch Wynegar,B,73,190,0.255,65
Manny Sanguillen,R,72,193,0.296,65
Mike Andrews,R,75,195,0.258,66
Dick Dietz,R,73,195,0.261,66
Danny Cater,R,72,170,0.276,66
Merv Rettenmund,R,70,190,0.271,66
Floyd Robinson,L,69,175,0.283,67
Mike Shannon,R,75,195,0.255,68
Steve Henderson,R,74,190,0.28,68
Art Shamsky,L,73,168,0.253,68
Ken Reitz,R,72,180,0.26,68
John Ellis,R,74,225,0.262,69
Charley Smith,R,73,170,0.239,69
Jerry Mumphrey,B,74,185,0.289,70
Glenn Hubbard,R,69,150,0.244,70
Tom Brookens,R,70,165,0.246,71
Mitchell Page,L,74,205,0.266,72
Mike Young,B,74,195,0.247,72
Andy Kosco,R,75,205,0.236,73
Ron Swoboda,R,74,195,0.242,73
Bernie Allen,L,72,175,0.239,73
Jim Lefebvre,B,72,180,0.251,74
Tommy McCraw,L,72,183,0.246,75
Ralph Garr,L,71,185,0.306,75
Tony Horton,R,75,210,0.268,76
George Mitterwald,R,74,195,0.236,76
Pat Kelly,L,73,185,0.264,76
Tim Laudner,R,75,212,0.225,77
Leroy Stanton,R,73,195,0.244,77
Milt May,L,72,190,0.263,77
Rich Rollins,R,70,185,0.269,77
Jim Dwyer,L,70,165,0.26,77
Don Wert,R,70,162,0.242,77
Leon Roberts,R,75,200,0.267,78
Julian Javier,R,73,175,0.257,78
Otto Velez,R,72,170,0.251,78
Alex Johnson,R,72,205,0.288,78
Phil Bradley,R,72,185,0.286,78
Bob Tillman,R,76,205,0.232,79
Juan Beniquez,R,71,150,0.274,79
Bert Campaneris,R,70,160,0.259,79
Ed Herrmann,L,73,195,0.24,80
Roy Howell,L,73,190,0.261,80
Joel Youngblood,R,72,180,0.265,80
Mike Hargrove,L,72,195,0.29,80
Dick Green,R,70,180,0.24,80
Johnny Edwards,L,76,220,0.242,81
Mike Ivie,R,75,205,0.269,81
John Bateman,R,75,210,0.23,81
Roger Repoz,L,75,190,0.224,82
Randy Hundley,R,71,170,0.236,82
Bobby Darwin,R,74,190,0.251,83
Ray Knight,R,73,185,0.271,84
Gates Brown,L,71,220,0.257,84
Jerry Martin,R,73,195,0.251,85
Ed Kirkpatrick,L,71,195,0.238,85
Tom Paciorek,R,76,215,0.282,86
Willie Crawford,L,73,197,0.268,86
John Wockenfuss,R,72,190,0.262,86
Bobby Tolan,L,71,170,0.265,86
Dan Meyer,L,71,180,0.253,86
Ed Charles,R,70,170,0.263,86
Del Unser,L,73,180,0.258,87
Bo Diaz,R,71,185,0.255,87
Alan Ashby,B,74,185,0.245,90
Mike Lum,L,72,180,0.247,90
Carlos May,L,71,200,0.274,90
Cito Gaston,R,75,190,0.256,91
Mike Davis,L,74,175,0.259,91
Bob Brenly,R,74,210,0.247,91
Lee Lacy,R,73,175,0.286,91
Ken Landreaux,L,70,165,0.268,91
Rod Carew,L,72,170,0.328,92
Lee Mazzilli,B,73,180,0.259,93
Cleon Jones,R,72,185,0.281,93
Don Buford,B,67,160,0.264,93
Bob Oliver,R,75,205,0.256,94
Jim Sundberg,R,72,190,0.248,95
